reference,segment_id,segment_name,Dice,Accuracy,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,15,4th-Ventricle,0.9486166007905138,0.9999891982198666,0.07692307692307687,0.024390243902439046,2.4929877793739057e-06,8.309910926040942e-06,0.9022556390977443,0.9999975070122207,0.9230769230769231,0.975609756097561,738,780,0.999991690089074
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,16,Brain-Stem,0.9721735008295804,0.9999187096802784,0.03591575780368561,0.01960034420116641,2.843117077064838e-05,5.2977759187777806e-05,0.9458537035328844,0.9999715688292293,0.9640842421963144,0.9803996557988336,10459,10636,0.9999470222408122
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,17,Left-Hippocampus,0.9019207887132416,0.9999200945238852,0.07913918778202012,0.11625582944703527,4.835033237736368e-05,3.158756613641511e-05,0.8213622291021672,0.9999516496676226,0.9208608122179799,0.8837441705529647,3002,2881,0.9999684124338636
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,18,Left-Amygdala,0.8780767029192902,0.9999705028311743,0.14966740576496673,0.09230769230769231,1.0803129583539355e-05,1.869757666939087e-05,0.7826530612244897,0.9999891968704164,0.8503325942350333,0.9076923076923077,845,902,0.9999813024233306
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,26,Left-Accumbens-area,0.7416879795396419,0.9999860130795709,0.29268292682926833,0.22043010752688175,5.678019983029644e-06,8.309275672080396e-06,0.5894308943089431,0.9999943219800169,0.7073170731707317,0.7795698924731183,186,205,0.9999916907243279
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,28,Left-VentralDC,0.934368932038835,0.9999531922860887,0.06708026366808839,0.06417736289381559,2.2858083303998794e-05,2.3966327448499136e-05,0.8768221574344023,0.999977141916696,0.9329197363319116,0.9358226371061844,2571,2579,0.9999760336725515
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,41,Right-Cerebral-White-Matter,,1.0,,,0.0,0.0,,1.0,,,0,0,1.0
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,42,Right-Cerebral-Cortex,0.8781826927861728,0.9938978251308124,0.10762704722308059,0.13556333237181406,0.0035365375241710015,0.002722068635747088,0.7828214871878281,0.996463462475829,0.8923729527769194,0.8644366676281859,183737,177985,0.9972779313642529
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,43,Right-Lateral-Ventricle,0.9231703613726085,0.9999299269134938,0.10771940123275614,0.043724441648317125,1.9258412566460573e-05,5.084614496864148e-05,0.8573040045121263,0.9999807415874336,0.8922805987672439,0.9562755583516829,3179,3407,0.9999491538550314
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/6mo_Template04_acpc_dc_restore.nii.gz,47,Right-Cerebellum-Cortex,0.965447715848202,0.9996535121295682,0.034152137271697414,0.0349520996107231,0.00017620431683874424,0.00017202957739592684,0.9332034065728703,0.9998237956831613,0.9658478627283026,0.9650479003892769,36221,36191,0.9998279704226041
